Time (ms)	Distance 1 (um)	Distance 2 (um)	Force Channel 1 (pN)	Force Channel 2 (pN)	Force Channel 3 (pN)	Force Channel 4 (pN)	Force Channel 5 (pN)	Force Channel 6 (pN)	Force Channel 1 STDEV (pN)	Force Channel 2 STDEV (pN)	Force Channel 3 STDEV (pN)	Force Channel 4 STDEV (pN)	Force Channel 5 STDEV (pN)	Force Channel 6 STDEV (pN)	Force Trap 1 (pN)	Force Trap 2 (pN)	Force Trap 3 (pN)	Force Trap 1 STDEV (pN)	Force Trap 2 STDEV (pN)	Force Trap 3 STDEV (pN)	Bead 1 X position (um)	Bead 1 Y position (um)	Bead 2 X position (um)	Bead 2 Y position (um)	Bead 3 X position (um)	Bead 3 Y position (um)	Bead 4 X position (um)	Bead 4 Y position (um)
235.00000000	1.77616653	0.00000000	0.29135760	0.15562606	0.21250983	-0.13654190	-1.69683456	-2.22073922	1.60645790	1.55998744	1.33449016	1.32647430	0.00033060	0.00044266	0.33031609	0.25259477	2.79480414	1.59625942	1.33215290	0.00040498	6.17676886	5.64792230	11.18184713	5.75230068	0.00000000	0.00000000	0.00000000	0.00000000
240.00000000	1.77555820	0.00000000	0.07195123	0.27596036	0.15983093	-0.29888407	-1.69666611	-2.22046753	1.40171822	1.59516653	1.60681744	1.45524687	0.00031332	0.00039707	0.28518608	0.33893600	2.79448599	1.58355734	1.49028586	0.00036842	6.17642482	5.64845477	11.18091077	5.75205650	0.00000000	0.00000000	0.00000000	0.00000000
245.00000000	1.77891306	0.00000000	-0.02014903	-0.03858223	0.16795047	-0.25282059	-1.69673524	-2.22065277	1.55315363	1.20732413	1.51827967	1.40198233	0.00030796	0.00042517	0.04352668	0.30352201	2.79467515	1.28926420	1.43858964	0.00038613	6.17432228	5.64817503	11.18210704	5.75448530	0.00000000	0.00000000	0.00000000	0.00000000
250.00000000	1.77969325	0.00000000	0.46905935	0.52722654	0.23851124	-0.41582139	-1.69683675	-2.22072676	1.25475937	1.59757512	1.33995058	1.32915039	0.00029436	0.00037260	0.70568017	0.47936942	2.79479558	1.45610065	1.33183222	0.00034583	6.17326417	5.64820410	11.18187791	5.75219877	0.00000000	0.00000000	0.00000000	0.00000000
255.00000000	1.77521079	0.00000000	0.00999566	0.46876732	0.26138555	-0.68371143	-1.69664792	-2.22053856	1.31238123	1.32120142	1.46265333	1.46961510	0.00028938	0.00039153	0.46887388	0.73197249	2.79453139	1.32119743	1.46872918	0.00035729	6.17596314	5.64685872	11.18007632	5.75167416	0.00000000	0.00000000	0.00000000	0.00000000
260.00000000	1.77674695	0.00000000	0.15438570	-0.09359674	-0.03350812	-0.13921003	-1.69687916	-2.22066862	1.18990518	1.36999252	1.54323550	1.24278902	0.00033362	0.00042921	0.18054167	0.14318598	2.79477513	1.24087656	1.26109683	0.00039666	6.17596519	5.64333830	11.18156191	5.75065298	0.00000000	0.00000000	0.00000000	0.00000000
265.00000000	1.77539080	0.00000000	0.11118546	0.15668781	0.27607244	-0.35023955	-1.69683869	-2.22070091	1.56048295	1.45911992	1.43946129	1.22415561	0.00032281	0.00043579	0.19212828	0.44596383	2.79477621	1.49383246	1.31085081	0.00039789	6.17672030	5.64728073	11.18105509	5.75009281	0.00000000	0.00000000	0.00000000	0.00000000
270.00000000	1.77906017	0.00000000	-0.56702687	0.43369552	0.47422117	-0.36459114	-1.69664552	-2.22044231	1.54176808	1.49774879	1.44508988	1.32586690	0.00027256	0.00035949	0.71387063	0.59817424	2.79445345	1.52566894	1.40198286	0.00033012	6.17511569	5.64940413	11.18316036	5.75026243	0.00000000	0.00000000	0.00000000	0.00000000
275.00000000	1.77575151	0.00000000	0.06812548	0.25672928	0.28977007	-0.56181207	-1.69684360	-2.22074969	1.50161077	1.39707475	1.67104121	1.22873432	0.00033872	0.00040166	0.26561440	0.63213883	2.79481795	1.40419063	1.33390222	0.00037967	6.17644944	5.64775609	11.18111733	5.75190739	0.00000000	0.00000000	0.00000000	0.00000000
280.00000000	1.77632421	0.00000000	0.50378489	0.65188062	-0.16979167	-0.24261475	-1.69674538	-2.22057865	1.21354196	1.33576914	1.33812785	1.30802094	0.00033186	0.00039857	0.82386137	0.29612687	2.79462241	1.29142041	1.31799473	0.00037536	6.17606437	5.64751841	11.18133894	5.75002988	0.00000000	0.00000000	0.00000000	0.00000000
285.00000000	1.77489098	0.00000000	0.40778627	0.51853995	0.59394979	-0.38767119	-1.69662389	-2.22062506	1.62491569	1.25560536	1.53003020	1.51342679	0.00029948	0.00036681	0.65967668	0.70927096	2.79458553	1.40820787	1.52508893	0.00034353	6.17619979	5.64518366	11.17992448	5.75322541	0.00000000	0.00000000	0.00000000	0.00000000
289.00000000	1.77872795	0.00000000	0.27063197	0.37468882	0.56014015	-0.33650195	-1.69681276	-2.22068181	1.64034007	1.25646045	1.41977162	1.22202965	0.00028452	0.00041461	0.46220491	0.65344513	2.79474529	1.39997736	1.37011591	0.00037199	6.17512527	5.65021635	11.18279307	5.75326440	0.00000000	0.00000000	0.00000000	0.00000000
295.00000000	1.77356449	0.00000000	-0.10025308	0.63422193	0.54574442	-0.56682882	-1.69681740	-2.22062275	1.54019232	1.55109950	1.45031872	1.34150928	0.00032814	0.00041891	0.64209667	0.78684934	2.79470118	1.55083452	1.39491252	0.00038793	6.17692002	5.64724619	11.17935267	5.75366589	0.00000000	0.00000000	0.00000000	0.00000000
299.00000000	1.77594823	0.00000000	0.01262680	0.16214122	0.37868402	-0.46158314	-1.69672435	-2.22052525	1.48512306	1.55733726	1.33337994	1.30311955	0.00032533	0.00041656	0.16263214	0.59704320	2.79456721	1.55691199	1.31537679	0.00038545	6.17669020	5.64620621	11.18151609	5.75220424	0.00000000	0.00000000	0.00000000	0.00000000
